@RELATION knnmodelTrainings_DB4
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Silence,Shuffle,Environment}

@DATA
0.016253,0.081577,2.671806,0.116984,0.181718,0.068457,0.023697,0.002272,-25.079620,1.671115,0.226432,0.381568,0.201964,0.212343,0.181055,0.161830,0.136016,0.149398,0.099630,0.071984,0.040498,0.000482,0.000166,0.104516,0.000485,0.054111,0.000375,0.208617,0.000133,0.000245,0.000693,0.008283,0.000239,0.070934,0.008659,0.053989,0.263787,0.018003,0.022593,0.037246,0.018572,0.000862,0.451997,0.240749,0.127514,0.132886,0.112575,0.122258,0.182843,0.146369,0.129264,0.131082,0.104631,0.130269,0.095469,0.000337,0.000126,0.090257,0.000493,0.042533,0.000296,0.104679,0.000135,0.000174,0.000571,0.007576,0.000247,0.022387,Silence
0.021393,0.102679,2.562814,0.122140,0.190574,0.068314,0.021384,0.002450,-24.489001,1.810821,0.292044,0.369976,0.191997,0.176360,0.115294,0.137560,0.088206,0.131907,0.066447,0.088270,0.076943,0.000735,0.000206,0.124973,0.000651,0.049254,0.000497,0.201339,0.000137,0.000285,0.000955,0.007351,0.000223,0.072762,0.011222,0.047366,0.261295,0.017612,0.020429,0.031159,0.015388,0.001051,0.450731,0.240864,0.137923,0.134941,0.149789,0.139176,0.098347,0.112467,0.114307,0.104964,0.098347,0.124478,0.131829,0.000617,0.000132,0.093374,0.000661,0.040473,0.000436,0.114142,0.000122,0.000196,0.001051,0.009068,0.000193,0.024202,Silence
0.016251,0.052578,2.673418,0.120776,0.190140,0.073675,0.024905,0.003418,-25.552445,1.849495,0.267412,0.418820,0.214537,0.222383,0.152658,0.168037,0.091696,0.090810,0.090268,0.083027,0.096503,0.000881,0.000249,0.096185,0.000636,0.041625,0.000546,0.245626,0.000164,0.000305,0.001076,0.010520,0.000273,0.076940,0.010641,0.039455,0.245424,0.022646,0.028394,0.046728,0.021165,0.002333,0.793262,0.299931,0.154109,0.148191,0.118115,0.146412,0.127056,0.121346,0.128247,0.110876,0.129738,0.109417,0.118901,0.000780,0.000282,0.067202,0.000555,0.039164,0.000502,0.116326,0.000170,0.000257,0.001332,0.010880,0.000295,0.023626,Silence
0.018873,0.045676,2.728440,0.118935,0.183666,0.083560,0.018833,0.004765,-25.315948,1.827179,0.199965,0.383515,0.214313,0.229278,0.088879,0.162625,0.111585,0.086110,0.063628,0.094986,0.092394,0.001140,0.000408,0.097783,0.000801,0.043834,0.000708,0.227195,0.000183,0.000557,0.001310,0.014024,0.000433,0.072810,0.010190,0.025818,0.224238,0.019759,0.024669,0.047446,0.012955,0.005264,0.626271,0.268384,0.221138,0.172583,0.184736,0.190427,0.182337,0.150245,0.143344,0.132583,0.126291,0.112549,0.139159,0.001092,0.000524,0.070847,0.000757,0.036739,0.000718,0.110347,0.000190,0.000775,0.001384,0.015965,0.000563,0.022631,Silence
0.012109,0.094766,2.757395,0.122526,0.198494,0.063346,0.020960,0.003153,-24.485748,2.014107,0.291395,0.403733,0.221212,0.228540,0.094043,0.134671,0.091884,0.109090,0.092328,0.044592,0.038513,0.001323,0.000245,0.087904,0.000833,0.032786,0.000668,0.280812,0.000108,0.000370,0.001255,0.010010,0.000251,0.083236,0.006714,0.034183,0.158672,0.014731,0.019671,0.027164,0.013961,0.001256,0.483348,0.214927,0.106118,0.077206,0.099589,0.093509,0.114960,0.108491,0.102228,0.094836,0.094968,0.085548,0.083258,0.000602,0.000174,0.051509,0.000470,0.021687,0.000324,0.087353,0.000078,0.000212,0.000727,0.006897,0.000142,0.017587,Silence
0.018867,0.089202,2.679740,0.121974,0.186164,0.082118,0.023667,0.003369,-24.658004,1.750763,0.243657,0.386711,0.224591,0.268010,0.151264,0.135977,0.081061,0.096068,0.084459,0.057496,0.034759,0.000985,0.000276,0.090628,0.000689,0.038796,0.000553,0.257779,0.000229,0.000399,0.001278,0.010275,0.000253,0.081017,0.010726,0.063026,0.259778,0.018905,0.023314,0.044868,0.022576,0.002547,0.612881,0.285666,0.165200,0.120974,0.123265,0.127706,0.137929,0.145852,0.124074,0.132404,0.129746,0.137001,0.131258,0.001172,0.000245,0.074438,0.000652,0.033222,0.000584,0.120311,0.000301,0.000361,0.001430,0.012489,0.000228,0.021933,Silence
0.022716,0.097883,2.697759,0.125319,0.188186,0.096923,0.017969,0.003751,-24.223226,1.741354,0.270574,0.450034,0.234632,0.219583,0.134560,0.184338,0.106394,0.091361,0.078406,0.072000,0.052963,0.001047,0.000314,0.096948,0.000788,0.040106,0.000571,0.234231,0.000157,0.000488,0.001293,0.017319,0.000287,0.073739,0.013558,0.052929,0.215176,0.016957,0.023311,0.055391,0.012731,0.002602,0.641628,0.303207,0.139670,0.144574,0.152362,0.120007,0.131544,0.121758,0.128484,0.109320,0.119033,0.119079,0.111348,0.001119,0.000261,0.075199,0.000766,0.036161,0.000608,0.100490,0.000137,0.000515,0.001339,0.022416,0.000251,0.022513,Silence
0.019967,0.016774,2.812700,0.105481,0.161467,0.140880,0.016006,0.024873,-26.148820,1.892595,-0.315692,0.392637,0.087551,0.050398,0.099685,0.205630,-0.042944,0.053363,0.119370,0.025956,0.053948,0.003697,0.001305,0.073586,0.003409,0.035479,0.002603,0.229394,0.000940,0.002055,0.003973,0.010331,0.001317,0.069307,0.012298,0.019144,0.248737,0.021629,0.030754,0.139048,0.015598,0.028153,2.095443,0.473496,0.350574,0.231814,0.211313,0.182526,0.223020,0.172362,0.163260,0.174042,0.173574,0.130552,0.112796,0.003594,0.001324,0.059568,0.003276,0.027436,0.002286,0.102396,0.000995,0.002442,0.005548,0.008293,0.001375,0.023545,Shuffle
0.006534,0.052604,2.934086,0.096491,0.169129,0.039035,0.021225,0.005240,-25.490082,2.043473,-0.069641,0.159566,0.245040,0.193892,0.168004,0.273198,0.090692,0.095056,0.089614,-0.111301,0.143213,0.001195,0.000590,0.046149,0.001084,0.020354,0.001178,0.356709,0.000268,0.000760,0.001199,0.008343,0.000655,0.102063,0.003302,0.014457,0.095841,0.010552,0.017991,0.014515,0.012219,0.004712,0.904908,0.171879,0.175590,0.131617,0.069833,0.101513,0.094754,0.102385,0.077724,0.079807,0.072478,0.101305,0.071447,0.001228,0.000704,0.032371,0.000983,0.019135,0.001629,0.072136,0.000272,0.000797,0.000969,0.006797,0.000702,0.016109,Shuffle
0.026671,0.022707,2.755433,0.120959,0.172965,0.212894,0.016020,0.028902,-26.142282,1.803766,-0.042035,0.491080,0.245086,0.126387,-0.050932,0.322348,0.021859,-0.007759,0.115056,0.048771,0.015581,0.004680,0.001684,0.066559,0.003495,0.045385,0.002608,0.189329,0.000542,0.001469,0.004275,0.016704,0.001313,0.060114,0.016961,0.036288,0.259733,0.020827,0.024580,0.214626,0.010391,0.038705,2.094212,0.408343,0.345715,0.287194,0.239499,0.216897,0.222811,0.213929,0.236285,0.150696,0.188396,0.145486,0.160041,0.004969,0.002105,0.054197,0.003274,0.036230,0.003043,0.120659,0.000607,0.001430,0.004085,0.015217,0.001393,0.026695,Shuffle
