@RELATION knnmodelTrainings_b151
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Calling,Environment,Silence,Shuffling}

@DATA
0.049197,0.134481,2.924973,0.107528,0.135398,0.197904,0.011691,0.057287,-22.705868,0.951345,-1.853862,0.619603,-0.554406,-0.693520,0.300977,0.473458,-0.336795,-0.335610,0.306779,0.051511,-0.174034,0.005044,0.006064,0.014064,0.017849,0.018978,0.030983,0.018444,0.004808,0.003323,0.002900,0.003650,0.003700,0.017505,0.012680,0.085980,0.338567,0.017804,0.021940,0.104159,0.006202,0.013347,1.983882,0.838371,0.401406,0.369306,0.307143,0.324390,0.271587,0.275178,0.265317,0.333520,0.163924,0.169881,0.141571,0.006024,0.008168,0.013103,0.016865,0.020496,0.012027,0.029293,0.005846,0.003932,0.003234,0.004525,0.004512,0.008577,Calling
0.050729,0.133999,2.895786,0.104445,0.135175,0.186990,0.008469,0.063475,-22.183578,1.030802,-1.409200,0.704091,-0.956211,-0.423341,0.248762,0.337057,-0.168881,-0.253893,0.256967,-0.045075,-0.083163,0.014910,0.008499,0.011790,0.011735,0.016015,0.011389,0.015234,0.004449,0.004462,0.009053,0.007301,0.011236,0.013631,0.013441,0.099911,0.492775,0.017103,0.026341,0.106628,0.004185,0.020036,2.246683,0.983357,0.414416,0.316156,0.370896,0.309447,0.335886,0.277143,0.278262,0.343680,0.197886,0.187589,0.181188,0.018353,0.009457,0.012766,0.010968,0.016920,0.009439,0.015969,0.005018,0.005049,0.008906,0.007336,0.012404,0.007456,Calling
0.049804,0.138812,2.770103,0.106469,0.139450,0.169740,0.009361,0.057654,-22.643886,1.037398,-1.865211,0.782290,-0.611709,-0.756873,0.338291,0.468067,-0.243141,-0.348016,0.264161,0.047501,-0.134603,0.005500,0.006554,0.017484,0.018111,0.018830,0.014530,0.014430,0.005155,0.003233,0.003280,0.003763,0.002928,0.012790,0.013589,0.113392,0.535723,0.019365,0.025193,0.110863,0.005522,0.012338,2.173639,1.073408,0.498810,0.398913,0.343212,0.385611,0.307903,0.272182,0.282791,0.371243,0.209666,0.185413,0.164971,0.005569,0.007991,0.022901,0.018596,0.015421,0.013660,0.022612,0.006631,0.005349,0.004440,0.005123,0.003389,0.008037,Calling
0.028102,0.061262,2.844316,0.112666,0.167364,0.193760,0.012655,0.021801,-24.517743,2.039934,-0.162317,0.416261,0.290109,-0.096879,-0.108845,0.026482,0.514901,-0.120578,-0.146902,0.061690,0.094592,0.003691,0.001092,0.119544,0.001309,0.031758,0.001191,0.217738,0.000196,0.000628,0.001910,0.010004,0.001620,0.074378,0.018767,0.031005,0.189145,0.020746,0.022582,0.183816,0.008325,0.034150,0.612252,0.436436,0.260737,0.258124,0.269098,0.283408,0.257526,0.271225,0.292279,0.303025,0.259394,0.198082,0.165175,0.005806,0.001522,0.087111,0.001251,0.027264,0.001232,0.112029,0.000185,0.000544,0.001576,0.009226,0.001922,0.021482,Environment
0.019737,0.081412,2.781731,0.101502,0.172490,0.099265,0.029492,0.019470,-25.148302,1.983498,-0.487073,0.702856,0.545997,-0.047138,-0.113181,0.260781,0.253544,-0.100616,-0.080535,0.153283,0.052725,0.002108,0.003757,0.081565,0.001287,0.047937,0.000462,0.196002,0.000146,0.000537,0.001170,0.006610,0.000934,0.063328,0.012218,0.049461,0.275453,0.023783,0.030107,0.113548,0.023367,0.018677,0.944110,0.416895,0.451352,0.265684,0.292914,0.212005,0.242614,0.246384,0.253082,0.263986,0.178382,0.198122,0.165543,0.003368,0.006508,0.059521,0.001434,0.038105,0.000481,0.112065,0.000187,0.000770,0.001107,0.007391,0.001445,0.023963,Environment
0.015273,0.013534,2.856500,0.100687,0.178501,0.049738,0.029821,0.018401,-28.031888,2.153935,-0.686859,0.650216,0.781975,-0.062739,-0.287512,0.286021,0.333406,-0.044336,-0.047781,0.137805,0.110033,0.003485,0.004048,0.116270,0.000807,0.030536,0.000393,0.216759,0.000100,0.000339,0.001159,0.006813,0.004662,0.074795,0.008273,0.013882,0.209697,0.021749,0.031231,0.031266,0.034906,0.011724,1.090293,0.297096,0.514882,0.227803,0.304016,0.223967,0.273489,0.185869,0.226169,0.143415,0.181411,0.157183,0.136271,0.005216,0.007028,0.093864,0.000691,0.029015,0.000363,0.111116,0.000090,0.000310,0.001088,0.007516,0.010385,0.025848,Environment
0.009669,0.032866,2.626923,0.110235,0.198355,0.035429,0.027642,0.002633,-26.977709,2.213765,0.244900,0.490800,0.277162,0.124163,0.053821,0.172452,0.037154,0.029327,0.051981,0.074104,0.049792,0.000862,0.000166,0.117492,0.000751,0.057732,0.000461,0.187433,0.000078,0.000315,0.001152,0.005792,0.000203,0.070267,0.006003,0.024195,0.273093,0.022255,0.026322,0.024989,0.024486,0.001739,1.354085,0.242784,0.132633,0.127544,0.136102,0.143504,0.115531,0.115460,0.096983,0.130334,0.097136,0.093255,0.093744,0.001007,0.000137,0.080318,0.000781,0.043767,0.000494,0.116701,0.000069,0.000355,0.001137,0.005445,0.000202,0.022516,Environment
0.009356,0.033813,2.611040,0.099361,0.185650,0.028251,0.027166,0.002755,-27.395619,2.246282,0.280300,0.664092,0.371191,0.095572,0.078599,0.175720,-0.007234,-0.030130,-0.001677,0.018177,0.024814,0.001105,0.000207,0.095214,0.000796,0.047825,0.000366,0.238478,0.000062,0.000220,0.000914,0.006769,0.000125,0.077590,0.006127,0.025027,0.272427,0.020901,0.026031,0.016061,0.017409,0.001590,0.954826,0.319086,0.303439,0.237241,0.159793,0.137713,0.133826,0.184030,0.139660,0.172904,0.142533,0.137954,0.126859,0.001702,0.000252,0.075973,0.000917,0.029622,0.000369,0.120692,0.000055,0.000221,0.001097,0.005185,0.000133,0.023265,Environment
0.011638,0.043697,2.661064,0.105941,0.188138,0.038513,0.022633,0.002904,-26.505473,2.058243,0.004908,0.582502,0.182599,0.006360,0.086230,0.196005,0.137199,0.087724,0.015093,-0.007348,0.047339,0.000980,0.000318,0.098274,0.000836,0.052802,0.000528,0.218776,0.000116,0.000292,0.001148,0.005228,0.000472,0.072590,0.007103,0.039159,0.227578,0.022238,0.026059,0.026961,0.013463,0.002526,1.075710,0.253377,0.255168,0.165578,0.224475,0.184322,0.174855,0.152059,0.161966,0.177802,0.160276,0.177962,0.109439,0.000927,0.000339,0.083454,0.001028,0.039446,0.000581,0.106998,0.000201,0.000273,0.001443,0.005064,0.000901,0.022028,Environment
0.007461,0.032935,2.662482,0.098431,0.185518,0.024094,0.025889,0.001860,-27.396280,2.155364,0.137092,0.710947,0.209723,0.002607,0.182441,0.105860,0.005593,0.087367,-0.011475,0.037381,0.055596,0.000685,0.000109,0.057954,0.000570,0.070525,0.000240,0.214695,0.000059,0.000170,0.000722,0.004520,0.000146,0.067041,0.005908,0.024682,0.267762,0.022864,0.029996,0.014163,0.018573,0.000898,1.215612,0.268607,0.257462,0.240698,0.160071,0.212135,0.193061,0.187206,0.192539,0.180640,0.155311,0.139826,0.128774,0.000774,0.000103,0.057016,0.000541,0.039563,0.000264,0.107440,0.000056,0.000144,0.000640,0.005193,0.000162,0.023332,Environment
